url,pageType,httpStatus,canonical,robotsStatus,title,h1,bodyWordCount,internalIncomingLinkCount,activeOfferCount,articleSimilarityScore,serverRendered,inSitemap,classification,recommendation
https://dealkhaleej.com/,home,200,https://dealkhaleej.com/,indexable,Coupon Codes and Deals Across the GCC | DealKhaleej,Verified Coupon Codes &amp; Deals for GCC Shoppers,621,1578,,,true,true,A,Strong crawl target with useful content and/or active commercial intent.
https://dealkhaleej.com/blog,blog-index,200,https://dealkhaleej.com/blog,indexable,GCC Coupon Guides and Shopping Tips | DealKhaleej,DealKhaleej Blog,178,691,,,false,true,A,Strong crawl target with useful content and/or active commercial intent.
https://dealkhaleej.com/about,static,200,https://dealkhaleej.com/about,indexable,About DealKhaleej | Saudi Coupon Codes and Deals,Helping Saudi shoppers find useful checkout savings.,261,5,,,true,true,B,"Useful page, but needs stronger unique content, clearer intent, or more internal support before sitemap priority."
https://dealkhaleej.com/contact,static,200,https://dealkhaleej.com/contact,indexable,Contact DealKhaleej | Coupon Support and Partnerships,"Questions, corrections, and merchant updates.",234,5,,,true,true,B,"Useful page, but needs stronger unique content, clearer intent, or more internal support before sitemap priority."
https://dealkhaleej.com/privacy-policy,static,200,https://dealkhaleej.com/privacy-policy,indexable,Privacy Policy | DealKhaleej,How DealKhaleej handles visitor information.,305,5,,,true,true,B,"Useful page, but needs stronger unique content, clearer intent, or more internal support before sitemap priority."
https://dealkhaleej.com/terms,static,200,https://dealkhaleej.com/terms,indexable,Terms of Use | DealKhaleej,Terms for using DealKhaleej.,314,5,,,true,true,B,"Useful page, but needs stronger unique content, clearer intent, or more internal support before sitemap priority."
https://dealkhaleej.com/affiliate-disclosure,static,200,https://dealkhaleej.com/affiliate-disclosure,indexable,Affiliate Disclosure | DealKhaleej,Some links may earn DealKhaleej a commission.,278,6,,,true,true,B,"Useful page, but needs stronger unique content, clearer intent, or more internal support before sitemap priority."
https://dealkhaleej.com/stores,stores-directory,200,https://dealkhaleej.com/stores,indexable,DealKhaleej Stores Directory | GCC Coupon Stores,DealKhaleej stores,1279,2,,,true,true,A,Strong crawl target with useful content and/or active commercial intent.
https://dealkhaleej.com/coupons,coupons-directory,200,https://dealkhaleej.com/coupons,indexable,Active GCC Coupon Codes and Offers | DealKhaleej,GCC coupon pages,1803,2,,,true,true,A,Strong crawl target with useful content and/or active commercial intent.
https://dealkhaleej.com/travel,travel,200,https://dealkhaleej.com/travel,indexable,Travel Deals for GCC Travelers | DealKhaleej,Travel deals for GCC shoppers.,283,329,,,true,true,B,"Useful page, but needs stronger unique content, clearer intent, or more internal support before sitemap priority."
https://dealkhaleej.com/travel/hotels,travel,200,https://dealkhaleej.com/travel/hotels,indexable,Hotel Deals for GCC Travelers | DealKhaleej,Hotel offers for GCC trips.,235,56,,,true,true,B,"Useful page, but needs stronger unique content, clearer intent, or more internal support before sitemap priority."
